DOI,Title,Year,First Authors,Affiliation
https://doi.org/10.1016/j.jaridenv.2019.104077,Patterns of bird species richness at two sampling scales in the Karoo biome of South Africa,2020,"['Lee, ATK', 'Wright, DR']",University of Kwazulu Natal
https://doi.org/10.1007/s10745-020-00208-7,"The Social and Cultural Importance of Keeping Wild Birds as Pets in an Ethnic Community in Guiyang City, China",2021,"['Dai, CY', 'Chen, Y', 'Zheng, QF']",Guangxi Normal University
https://doi.org/10.7717/peerj.5000,Population diversity and relatedness in Sugarbirds (Promeropidae: Promerops spp.),2018,"['Haworth, ES', 'Cunningham, MJ', 'Tjorve, KMC']",University of Pretoria
https://doi.org/10.1676/20-00132,"On the habitat use and foraging ecology of the Yellow-headed Brushfinch (Atlapetes flaviceps), an endemic species of conservation concern from Colombia",2022,"['Botero-Delgadillo, E', 'Bayly, NJ', 'Sanabria-Mejia, J', 'Caicedo, P', 'Escudero-Paez, S']",Max Planck Society
https://doi.org/10.1073/pnas.1802732116,Long-term declines in bird populations in tropical agricultural countryside,2019,"['Sekercioglu, CH', 'Mendenhall, CD', 'Oviedo-Brenes, F', 'Horns, JJ', 'Ehrlich, PR', 'Daily, GC']",Utah System of Higher Education
https://doi.org/10.1111/ibi.12885,Insights on the effect of aircraft traffic on avian vocal activity,2021,"['Vincelette, H', 'Buxton, R', 'Kleist, N', 'McKenna, MF', 'Betchkal, D', 'Wittemyer, G']",Colorado State University
https://doi.org/10.1016/j.jort.2017.10.001,Site preferences and participation of waterbird recreationists: Using choice modelling to inform habitat management,2017,"['Roberts, AJ', 'Devers, PK', 'Knoche, S', 'Padding, PI', 'Raftovich, R']",United States Department of the Interior
https://doi.org/10.1007/s10668-019-00386-5,Rearing and trade of wild birds in a semiarid region of Brazil,2020,"['Soares, HKD', 'Soares, VMD', 'Lopes, SD', 'de Lucenal, RFP', 'Barboza, RRD']",Universidade Federal da Paraiba
https://doi.org/10.25225/jvb.21027,Birds in power-line corridors: effects of vegetation mowing on avian diversity and abundance,2021,"['Hrouda, J', 'Brlik, V']",Charles University Prague
https://doi.org/10.3389/fevo.2017.00058,"Changes over 26 Years in the Avifauna of the Bogota Region, Colombia: Has Climate Change Become Important?",2017,"['Stiles, FG', 'Rosselli, L', 'De la Zerda, S']",Universidad Nacional de Colombia
https://doi.org/10.1007/978-3-030-03083-4_14,"The Avifauna of Angola: Richness, Endemism and Rarity",2019,"['Dean, WRJ', 'Melo, M', 'Mills, MSL']",National Research Foundation - South Africa
https://doi.org/10.1371/journal.pone.0241964,Motivations and fears driving participation in collaborative research infrastructure for animal tracking,2020,"['Crewe, TL', 'Kendal, D', 'Campbell, HA']",Charles Darwin University
https://doi.org/10.1007/s10531-019-01768-x,Patterns in island endemic forest-dependent bird research: the Caribbean as a case-study,2019,"['Devenish-Nelson, ES', 'Weidemann, D', 'Townsend, J', 'Nelson, HP']",University of Chester
https://doi.org/10.3389/fevo.2022.822220,Bird Migration at the Edge - Geographic and Anthropogenic Factors but Not Habitat Properties Drive Season-Specific Spatial Stopover Distributions Near Wide Ecological Barriers,2022,"['Schekler, I', 'Smolinsky, JA', 'Troupin, D', 'Buler, JJ', 'Sapir, N']",University of Haifa
https://doi.org/10.2989/00306525.2017.1388301,The continuing lack of ornithological research capacity in almost all of West Africa,2018,"['Cresswell, W']",University of St Andrews
https://doi.org/10.1111/btp.12859,Bird diversity and endemism along a land-use gradient in Madagascar: The conservation value of vanilla agroforestsTeny fanalahidy,2021,"['Martin, DA', 'Andriafanomezantsoa, R', 'Droge, S', 'Osen, K', 'Rakotomalala, E', 'Wurz, A', 'Andrianarimisa, A', 'Kreft, H']",University of Gottingen
https://doi.org/10.1111/btp.13014,"Interactive effects of elevation and newly paved road on avian community composition in a scientific reserve, Bioko Island, Equatorial Guinea",2021,"['Miller, SC', 'Wiethase, JH', 'Etingue, AM', 'Franklin, E', 'Fero, M', 'Wolfe, JD', 'Gonder, MK', 'Powell, LL']",Drexel University
https://doi.org/10.1111/jav.01629,Identifying critical migratory bottlenecks and high-use areas for an endangered migratory soaring bird across three continents,2018,"['Buechley, ER', 'Oppel, S', 'Beatty, WS', 'Nikolov, SC', 'Dobrev, V', 'Arkumarev, V', 'Saravia, V', 'Bougain, C', 'Bounas, A', 'Kret, E', 'Skartsi, T', 'Aktay, L', 'Aghababyan, K', 'Frehner, E', 'Sekercioglu, CH']",Utah System of Higher Education
https://doi.org/10.1080/01584197.2018.1501274,Biological determinants of research effort on Australian birds: a comparative analysis,2019,"['Yarwood, MR', 'Weston, MA', 'Symonds, MRE']",Deakin University
https://doi.org/10.3906/zoo-1808-16,Endangered Basra Reed-warbler (Acrocephalus griseldis) recorded for the first time in Turkey (Aves: Acrocephalidae),2019,"['Neate-Clegg, MHC', 'Ramirez Roman, J', 'Demir, B', 'Sekercioglu, CH']",Utah System of Higher Education
https://doi.org/10.15451/ec2020-05-9.14-1-19,Is the knowledge about the wild birds influenced by the socioeconomic conditions of the human populations?,2020,"['Santos, SDN', 'Martins, CSG', 'Martins, FD']",Universidade Federal do Vale do Sao Francisco
https://doi.org/10.1093/auk/ukaa048,A roadmap to identifying and filling shortfalls in Neotropical ornithology,2020,"['Lees, AC', 'Rosenberg, KV', 'Ruiz-Gutierrez, V', 'Marsden, S', 'Schulenberg, TS', 'Rodewald, AD']",Manchester Metropolitan University
https://doi.org/10.7818/ECOS.1942,"Ethnoecological study of the birds of Coatetelco, Morelos, Mexico",2020,"['Flores, AG']",Universidad Autonoma del Estado de Morelos
https://doi.org/10.12804/revistas.urosario.edu.co/territorios/a.6253,"Handling of Avifauna as Part of the Management of Urban Trees in Bogota, D. C.",2019,"['Tovar, G']",Universidad Distrital Francisco Jose de Caldas
https://doi.org/10.3390/genes8070184,Time to Spread Your Wings: A Review of the Avian Ancient DNA Field,2017,"['Grealy, A', 'Rawlence, NJ', 'Bunce, M']",Curtin University
https://doi.org/10.1201/9781315120454,Biodiversity Informatics and Data Quality on a Global Scale,2018,"['Cicero, C', 'Spencer, CL', 'Bloom, DA', 'Guralnick, RP', 'Koo, MS', 'Otegui, J', 'Russell, LA', 'Wieczorek, JR']",University of California System
https://doi.org/10.1016/j.biocon.2018.02.027,Using opportunistic citizen science data to estimate avian population trends,2018,"['Horns, JJ', 'Adler, FR', 'Sekercioglu, CH']",Utah System of Higher Education
https://doi.org/10.1016/j.biocon.2020.108653,Monitoring the world's bird populations with community science data,2020,"['Neate-Clegg, MHC', 'Horns, JJ', 'Adler, FR', 'Aytekin, MCK', 'Sekercioglu, CH']",Utah System of Higher Education
https://doi.org/10.1080/15627020.2019.1658540,Point counts outperform line transects when sampling birds along routes in South African protected areas,2019,"['Cumming, GS', 'Henry, DAW']",James Cook University
https://doi.org/10.1111/ibi.12906,Combining citizen science and weather radar data to study large-scale bird movements,2021,"['Weisshaupt, N', 'Lehtiniemi, T', 'Koistinen, J']",Finnish Meteorological Institute
https://doi.org/10.2993/0278-0771-38.4.533,"""Listen Carefully to the Voices of the Birds"": A Comparative Review of Birds as Signs",2018,"['Wyndham, FS', 'Park, KE']",League of European Research Universities - LERU
https://doi.org/10.1111/geb.13300,Ecological and biogeographical predictors of taxonomic discord across the world's birds,2021,"['Neate-Clegg, MHC', 'Blount, JD', 'Sekercioglu, CH']",Utah System of Higher Education
https://doi.org/10.1016/j.dib.2020.105298,Dataset on audio records of animals from the northeast Andes of Colombia II: The vertebrate sounds of Santander department,2020,"['Ospina-L, AM', 'Borja-Acosta, KG', 'Buitrago-Cardona, A', 'Torres, M', 'Acevedo-Charry, O']",Alliance
https://doi.org/10.1016/j.ecolecon.2017.02.013,The Non-market Value of Birding Sites and the Marginal Value of Additional Species: Biodiversity in a Random Utility Model of Site Choice by eBird Members,2017,"['Kolstoe, S', 'Cameron, TA']",University System of Maryland
https://doi.org/10.1109/eScience.2018.00023,FATBIRD: A Tool for Flight and Trajectories Analyses of Birds,2018,"['Kazempour, D', 'Beer, A', 'Herzog, F', 'Kaltenthaler, D', 'Lohrer, JY', 'Seidl, T']",University of Munich
https://doi.org/10.1002/rse2.143,Consistency of spatio-temporal patterns of avian migration across the Swiss lowlands,2020,"['Tschanz, P', 'Pellissier, L', 'Shi, X', 'Liechti, F', 'Schmid, B']",Swiss Ornithological Institute
https://doi.org/10.1016/j.ecocom.2020.100847,Applications of bioacoustics in animal ecology,2020,"['Penar, W', 'Magiera, A', 'Klocek, C']",Agricultural University Krakow
https://doi.org/10.1073/pnas.1708574114,High-intensity urban light installation dramatically alters nocturnal bird migration,2017,"['Van Doren, BM', 'Horton, KG', 'Dokter, AM', 'Klinck, H', 'Elbin, SB', 'Farnsworth, A']",Cornell University
https://doi.org/10.3161/00016454AO2019.54.1.009,Birds wintering in heterogeneous farmland of Poland: weather-dependent temporal changes in abundance and habitat associations,2019,"['Wuczynski, A', 'Wuczynski, M']",Polish Academy of Sciences
https://doi.org/10.1111/cobi.13630,Trends in seabird breeding populations across the Great Barrier Reef,2021,"['Woodworth, BK', 'Fuller, RA', 'Hemson, G', 'McDougall, A', 'Congdon, BC', 'Low, M']",University of Queensland
https://doi.org/10.1186/s13002-017-0161-z,The use of birds as pets in Mexico,2017,"['Roldan-Clara, B', 'Toledo, VM', 'Espejel, I']",Universidad Nacional Autonoma de Mexico
https://doi.org/10.1016/j.envpol.2018.12.072,Environmentally relevant methylmercury exposure reduces the metabolic scope of a model songbird,2019,"['Gerson, AR', 'Cristol, DA', 'Seewagen, CL']",University of Massachusetts System
https://doi.org/10.1016/j.apacoust.2021.108077,Sound-spectrogram based automatic bird species recognition using MLP classifier,2021,"['Pahuja, R', 'Kumar, A']",National Institute of Technology (NIT System)
https://doi.org/10.3389/fevo.2021.727719,Leaders Inspiring the Next Generation of Citizen Scientists - An Analysis of the Predictors of Leadership in Birding,2021,"['Randler, C']",Eberhard Karls University of Tubingen
https://doi.org/10.1111/ecog.05000,What factors increase the vulnerability of native birds to the impacts of alien birds?,2021,"['Evans, T', 'Jeschke, JM', 'Liu, CL', 'Redding, DW', 'Sekercioglu, CH', 'Blackburn, TM']",Free University of Berlin
https://doi.org/10.1111/2041-210X.13365,Evaluating the target-tracking performance of scanning avian radars by augmenting data with simulated echoes,2020,"['Urmy, SS', 'Warren, JD']",State University of New York (SUNY) System
https://doi.org/10.1186/s13002-020-00385-1,"Environmental interactions between people and birds in semiarid lands of the Zapotitlan Valley, Central Mexico",2020,"['Romero-Bautista, YA', 'Moreno-Calles, AI', 'Alvarado-Ramos, F', 'Castillo, MR', 'Casas, A']",Universidad Nacional Autonoma de Mexico
https://doi.org/10.1093/ornithology/ukab017,Species limits and taxonomy in birds,2021,"['Winker, K', 'Rasmussen, PC']",University of Alaska System
https://doi.org/10.15517/rbt.v65i3.29434,The effects of seasonality and precipitation in the avifauna of the Argentine Southern Chaco Serrano,2017,"['Fava, GA', 'Acosta, JC', 'Blanco, GM']",Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET)
https://doi.org/10.1002/pan3.10265,Knowledge of Nature and the Nature of Knowledge: Student natural history knowledge and the significance of birds,2022,"['Gosler, AG', 'Tilling, SM']",League of European Research Universities - LERU
https://doi.org/10.1002/pan3.10191,Tapping birdwatchers to promote bird-friendly coffee consumption and conserve birds,2021,"['Williams, A', 'Dayer, AA', 'Hernandez-Aguilera, JN', 'Phillips, TB', 'Faulkner-Grant, H', 'Gomez, MI', 'Rodewald, AD']",Cornell University
https://doi.org/10.1007/978-981-10-5792-2_2,Research Need on Environmental Gains in Conservation-Induced Relocation,2018,"['Rajpoot, SS', 'Chauhan, MS']",National Institute of Technology (NIT System)
https://doi.org/10.1002/ecs2.1864,Hidden roles of protected areas in the conservation of biodiversity and ecosystem services,2017,"['Vina, A', 'Liu, JG']",Michigan State University
https://doi.org/10.1007/s12304-018-9319-x,Rural Sanctuary: an Ecosemiotic Agency to Preserve Human Cultural Heritage and Biodiversity,2018,"['Farina, A']",University of Urbino
https://doi.org/10.1016/j.biocon.2018.09.013,"Impacts of certification, uncertified concessions, and protected areas on forest loss in Cameroon, 2000 to 2013",2018,"['Panlasigui, S', 'Rico-Straffon, J', 'Pfaff, A', 'Swenson, J', 'Loucks, C']",Duke University
https://doi.org/10.1016/j.biocon.2017.12.004,Extending the baseline of tropical dry forest loss in Ghana (1984-2015) reveals drivers of major deforestation inside a protected area,2018,"['Janssen, TAJ', 'Ametsitsi, GKD', 'Collins, M', 'Adu-Bredu, S', 'Oliveras, I', 'Mitchard, ETA', 'Veenendaal, EM']",League of European Research Universities - LERU
https://doi.org/10.1111/2041-210X.12925,Modelling the area of occupancy of habitat types with remote sensing,2018,"['Alvarez-Martinez, JM', 'Jimenez-Alfaro, B', 'Barquin, J', 'Ondiviela, B', 'Recio, M', 'Silio-Calzada, A', 'Juanes, JA']",Universidad de Cantabria
https://doi.org/10.14483/23448350.13370,Teledetection in ecological research as support for the conservation of biodiversity: a review,2018,"['Sanchez-Diaz, B']",Universidad Juarez Autonoma de Tabasco
https://doi.org/10.1088/1755-1315/196/1/012024,Biodiversity conservation at Betung Kerihun National Park: the positive role of customary law in mitigating a local community trust deficit,2018,"['Sunkar, A', 'Santosa, Y']",Bogor Agricultural University
https://doi.org/10.3390/rs9101059,Biodiversity Monitoring in Changing Tropical Forests: A Review of Approaches and New Opportunities,2017,"['Mulatu, KA', 'Mora, B', 'Kooistra, L', 'Herold, M']",Wageningen University & Research
https://doi.org/10.1650/CONDOR-18-28.1,Comparative niche modeling of two bush-shrikes (Laniarius) and the conservation of mid-elevation Afromontane forests of the Albertine Rift,2018,"['Berzaghi, F', 'Engel, JE', 'Plumptre, AJ', 'Mugabe, H', 'Kujirakwinja, D', 'Ayebare, S', 'Bates, JM']",Tuscia University
https://doi.org/10.1007/s11852-016-0488-y,Two comparative approaches to identify the conservation priority areas impacted by heavy metals on Yellow Sea coasts,2017,"['Li, N', 'Yang, W', 'Xu, LQ', 'Jia, XB', 'An, SQ', 'Fang, SB']",Nanjing University
https://doi.org/10.1016/j.ecolecon.2017.06.038,Beneath the Canopy: Tropical Forests Enrolled in Conservation Payments Reveal Evidence of Less Degradation,2018,"['Mohebalian, PM', 'Aguilar, FX']",World Wildlife Fund
https://doi.org/10.1002/rse2.52,Uncertainties in tree cover maps of Sub-Saharan Africa and their implications for measuring progress towards CBD Aichi Targets,2018,"['Gross, D', 'Achard, F', 'Dubois, G', 'Brink, A', 'Prins, HHT']",Wageningen University & Research
https://doi.org/10.1111/2041-210X.12711,A new Automated Behavioural Response system to integrate playback experiments into camera trap studies,2017,"['Suraci, JP', 'Clinchy, M', 'Mugerwa, B', 'Delsey, M', 'Macdonald, DW', 'Smith, JA', 'Wilmers, CC', 'Zanette, LY']",University of Victoria
https://doi.org/10.1080/22797254.2017.1419442,Automatic detection and quantification of wild game crop damage using an unmanned aerial vehicle (UAV) equipped with an optical sensor payload: a case study in wheat,2018,"['Kuzelka, K', 'Surovy, P']",Czech University of Life Sciences Prague
https://doi.org/10.1007/978-981-10-4113-6_12,Urban Ecological Networks for Biodiversity Conservation in Cities,2017,"['Hamid, AR', 'Tan, PY']",National University of Singapore
https://doi.org/10.1007/s10980-018-0627-y,"Modelling biodiversity trends in the montado (wood pasture) landscapes of the Alentejo, Portugal",2018,"['Simonson, WD', 'Allen, HD', 'Parham, E', 'Santos, EDE', 'Hotham, P']",League of European Research Universities - LERU
https://doi.org/10.3390/chemosensors6040045,"Applications of Electronic-Nose Technologies for Noninvasive Early Detection of Plant, Animal and Human Diseases",2018,"['Dan Wilson, A']",United States Department of Agriculture (USDA)
https://doi.org/10.1073/pnas.1719367115,"Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2018,"['Norouzzadeh, MS', 'Nguyen, A', 'Kosmala, M', 'Swanson, A', 'Palmer, MS', 'Packer, C', 'Clune, J']",University of Wyoming
https://doi.org/10.1002/rse2.59,"Satellite remote sensing of ecosystem functions: opportunities, challenges and way forward",2018,"['Pettorelli, N', 'Buhne, HST', 'Tulloch, A', 'Dubois, G', 'Macinnis-Ng, C', 'Queiros, AM', 'Keith, DA', 'Wegmann, M', 'Schrodt, F', 'Stellmes, M', 'Sonnenschein, R', 'Geller, GN', 'Roy, S', 'Somers, B', 'Murray, N', 'Bland, L', 'Geijzendorffer, I', 'Kerr, JT', 'Broszeit, S', 'Leitao, PJ', 'Duncan, C', 'El Serafy, G', 'He, KS', 'Blanchard, JL', 'Lucas, R', 'Mairota, P', 'Webb, TJ', 'Nicholson, E']",Zoological Society of London
https://doi.org/10.1016/j.biocon.2017.06.031,First quantitative survey delineates the distribution of chimpanzees in the Eastern Central African Republic,2017,"['Thierry, A', 'Guy, S', 'Estelle, R', 'Mimi, A', 'Amy, H', 'Raffael, H', 'Linda, V', 'Stephane, J', 'Daniel, W']",University of Fribourg
https://doi.org/10.3390/rs9020179,Leveraging Multi-Sensor Time Series Datasets to Map Short- and Long-Term Tropical Forest Disturbances in the Colombian Andes,2017,"['Murillo-Sandoval, PJ', 'Van den Hoek, J', 'Hilker, T']",Oregon State University
https://doi.org/10.2112/JCOASTRES-D-16-00194.1,Combining Remote Sensing and Field Mapping Methods to Study the Vegetation Dynamics within a Coastal Wetland and Determine the Habitat Effects of a Threatened Bird Species (Emberiza schoeniclus witherbyi),2018,"['Carrasco, L', 'Vera, P', 'Belda, EJ', 'Monros, JS']",Lancaster University
https://doi.org/10.7717/peerj.5806,Toward an integrated approach to crop production and pollination ecology through the application of remote sensing,2018,"['Willcox, BK', 'Robson, AJ', 'Howlett, BG', 'Rader, R']",University of New England
https://doi.org/10.3390/rs9030266,Habitat Mapping and Quality Assessment of NATURA 2000 Heathland Using Airborne Imaging Spectroscopy,2017,"['Haest, B', 'Vanden Borre, J', 'Spanhove, T', 'Thoonen, G', 'Delalieux, S', 'Kooistra, L', 'Mucher, CA', 'Paelinckx, D', 'Scheunders, P', 'Kempeneers, P']",VITO
https://doi.org/10.1002/rse2.27,More than counting pixels - perspectives on the importance of remote sensing training in ecology and conservation,2017,"['Bernd, A', 'Braun, D', 'Ortmann, A', 'Ulloa-Torrealba, YZ', 'Wohlfart, C', 'Bell, A']",University of Bayreuth
https://doi.org/10.1016/j.jnc.2017.08.004,"Review of native vegetation condition assessment concepts, methods and future trends",2017,"['Tehrany, MS', 'Kumar, L', 'Drielsma, MJ']",University of New England
https://doi.org/10.3389/fpsyg.2018.00594,Making Sense of Biodiversity: The Affordances of Systems Ecology,2018,"['Andersson, E', 'McPhearson, T']",Stockholm University
https://doi.org/10.1098/rstb.2017.0004,Collective movement in ecology: from emerging technologies to conservation and management,2018,"['Westley, PAH', 'Berdahl, AM', 'Torney, CJ', 'Biro, D']",University of Alaska System
https://doi.org/10.1007/s10666-018-9632-4,Mathematics for Scenarios of Biodiversity and Ecosystem Services,2018,"['Doyen, L']",Centre National de la Recherche Scientifique (CNRS)
https://doi.org/10.1016/j.rse.2017.08.011,Lidar-derived variables as a proxy for fungal species richness and composition in temperate Northern Europe,2017,"['Thers, H', 'Brunbjerg, AK', 'Laessoe, T', 'Ejrnaes, R', 'Bocher, PK', 'Svenning, JC']",Aarhus University
https://doi.org/10.1002/ldr.3178,Reducing emissions from Deforestation and forest Degradation in Angola: Insights from the scarp forest conservation 'hotspot',2018,"['Leite, A', 'Caceres, A', 'Melo, M', 'Mills, MSL', 'Monteiro, AT']",Universidade do Porto
https://doi.org/10.1109/JSEN.2018.2816965,Reduced Energy and Memory Requirements by On-Board Behavior Classification for Animal-Borne Sensor Applications,2018,"['le Roux, SP', 'Wolhuter, R', 'Stevens, N', 'Niesler, T']",Stellenbosch University
https://doi.org/10.1002/ecs2.2430,"Innovation in rangeland monitoring: annual, 30 m, plant functional type percent cover maps for US rangelands, 1984-2017",2018,"['Jones, MO', 'Allred, BW', 'Naugle, DE', 'Maestas, JD', 'Donnelly, P', 'Metz, LJ', 'Karl, J', 'Smith, R', 'Bestelmeyer, B', 'Boyd, C', 'Kerby, JD', 'McIver, JD']",University of Montana System
https://doi.org/10.1080/01584197.2016.1271990,The role of avian scavengers in the breakdown of carcasses in pastoral landscapes,2017,"['Peisley, RK', 'Saunders, ME', 'Robinson, WA', 'Luck, GW']",Charles Sturt University
https://doi.org/10.1016/j.ecohyd.2018.04.002,"Forest, wetland and biodiversity: Revealing multi-faceted ecological services from ecorestoration of a degraded tropical landscape",2018,"['Mallick, PH', 'Chakraborty, SK']",Vidyasagar University
https://doi.org/10.1111/1365-2664.13091,"Geostatistical models using remotely-sensed data predict savanna tsetse decline across the interface between protected and unprotected areas in Serengeti, Tanzania",2018,"['Lord, JS', 'Torr, SJ', 'Auty, HK', 'Brock, PM', 'Byamungu, M', 'Hargrove, JW', 'Morrison, LJ', 'Mramba, F', 'Vale, GA', 'Stanton, MC']",Liverpool School of Tropical Medicine
https://doi.org/10.1007/s10806-018-9733-8,Field Deaths in Plant Agriculture,2018,"['Fischer, B', 'Lamey, A']",Texas State University System
https://doi.org/10.1016/j.ecolind.2016.09.039,Patterns of bird diversity and habitat use in mixed vineyard-matorral landscapes of Central Chile,2017,"['Steel, ZL', 'Steel, AE', 'Williams, JN', 'Viers, JH', 'Marquet, PA', 'Barbosa, O']",University of California System
https://doi.org/10.1111/1365-2664.13059,Estimating animal density without individual recognition using information derivable exclusively from camera traps,2018,"['Nakashima, Y', 'Fukasawa, K', 'Samejima, H']",Nihon University
